"1","1","AO-001","Áo thun cotton basic cổ tròn","ao-thun-cotton-basic-co-tron","Áo thun cotton 2 chiều mềm mịn, thấm hút tốt, form regular dễ phối đồ đi học đi làm.","189000","149000","120","Trắng","Cotton 100%","Basic"
"2","1","AO-002","Áo thun oversize unisex in chữ","ao-thun-oversize-unisex-in-chu","Áo thun oversize unisex, vải cotton dày dặn, in chữ bền màu, phù hợp streetwear.","229000","199000","80","Đen","Cotton 260gsm","Streetwear"
"3","1","AO-003","Áo polo piqué phối bo tay","ao-polo-pique-phoi-bo-tay","Áo polo vải piqué thoáng khí, cổ đứng form lịch sự, hợp đi làm và đi chơi.","279000","239000","65","Xanh navy","Piqué (Cotton blend)","Smart casual"
"4","1","AO-004","Áo sơ mi oxford tay dài","ao-so-mi-oxford-tay-dai","Sơ mi oxford dệt chắc, ít nhăn, dễ ủi, phù hợp công sở và gặp gỡ.","359000","319000","55","Xanh nhạt","Oxford cotton","Công sở"
"5","1","AO-005","Áo sơ mi linen ngắn tay","ao-so-mi-linen-ngan-tay","Sơ mi linen mát nhẹ, thấm hút, phong cách tối giản, hợp mùa nóng Việt Nam.","329000","279000","70","Be","Linen pha","Tối giản"
"6","1","AO-006","Áo croptop gân ôm dáng","ao-croptop-gan-om-dang","Croptop vải gân co giãn, ôm dáng tôn form, phù hợp phối quần cạp cao.","159000","","95","Hồng pastel","Thun gân co giãn","Nữ tính"
"7","1","AO-007","Áo hai dây satin cổ đổ","ao-hai-day-satin-co-do","Áo hai dây satin nhẹ mát, cổ đổ sang, hợp phối blazer hoặc chân váy.","199000","169000","60","Kem","Satin","Thanh lịch"
"8","1","AO-008","Áo len mỏng cổ lọ basic","ao-len-mong-co-lo-basic","Áo len mỏng cổ lọ, giữ ấm vừa phải, phù hợp thời tiết se lạnh, dễ layer.","259000","219000","40","Nâu","Len acrylic","Basic"
"9","2","QUAN-001","Quần jean slim fit xanh đậm","quan-jean-slim-fit-xanh-dam","Jean co giãn nhẹ, ôm vừa phải, tôn dáng, dễ phối áo thun và sơ mi.","459000","399000","75","Xanh đậm","Denim co giãn","Casual"
"10","2","QUAN-002","Quần jean ống rộng cạp cao","quan-jean-ong-rong-cap-cao","Jean ống rộng cạp cao, che khuyết điểm, phong cách Hàn Quốc.","489000","439000","55","Xanh nhạt","Denim","Hàn Quốc"
"11","2","QUAN-003","Quần kaki straight fit màu be","quan-kaki-straight-fit-mau-be","Kaki đứng form, ít nhăn, hợp đi làm, phối giày sneaker hoặc loafer.","399000","349000","60","Be","Kaki","Công sở"
"12","2","QUAN-004","Quần âu xếp ly form suông","quan-au-xep-ly-form-suong","Quần âu xếp ly, form suông hiện đại, phù hợp công sở và sự kiện.","499000","449000","45","Đen","Tuytsi","Thanh lịch"
"13","2","QUAN-005","Quần jogger nỉ bo gấu","quan-jogger-ni-bo-gau","Jogger nỉ dày vừa, bo gấu gọn gàng, mặc đi chơi, tập nhẹ.","279000","239000","90","Xám","Nỉ bông","Sport"
"14","2","QUAN-006","Quần short kaki 5 inch","quan-short-kaki-5-inch","Short kaki 5 inch, gọn mát, phù hợp du lịch, phối áo polo.","249000","","110","Xanh rêu","Kaki","Năng động"
"15","2","QUAN-007","Quần legging thể thao cạp cao","quan-legging-the-thao-cap-cao","Legging co giãn 4 chiều, cạp cao ôm bụng, phù hợp tập gym yoga.","219000","189000","85","Đen","Poly spandex","Thể thao"
"16","2","QUAN-008","Quần culottes vải tuyết mưa","quan-culottes-vai-tuyet-mua","Culottes vải tuyết mưa rũ nhẹ, không bám bụi, lịch sự mà thoải mái.","369000","319000","50","Kem","Tuyết mưa","Office casual"
"17","3","VAY-001","Váy suông công sở cổ tim","vay-suong-cong-so-co-tim","Váy suông cổ tim thanh lịch, che khuyết điểm, phù hợp môi trường công sở.","459000","399000","45","Đen","Tuytsi","Công sở"
"18","3","VAY-002","Đầm hoa nhí tay bồng","dam-hoa-nhi-tay-bong","Đầm hoa nhí tay bồng nhẹ, tôn dáng, phong cách nữ tính đi dạo phố.","429000","369000","55","Vàng hoa","Voan lót","Nữ tính"
"19","3","VAY-003","Đầm body gân ôm dáng","dam-body-gan-om-dang","Đầm body gân co giãn, ôm dáng tôn đường cong, hợp đi tiệc nhẹ.","359000","299000","40","Đỏ đô","Thun gân","Sexy"
"20","3","VAY-004","Váy chữ A cạp cao","vay-chu-a-cap-cao","Váy chữ A cạp cao, dễ phối áo sơ mi hoặc áo thun, phù hợp đi làm đi chơi.","289000","249000","70","Xanh navy","Kate","Basic"
"21","3","VAY-005","Chân váy midi xếp ly","chan-vay-midi-xep-ly","Chân váy midi xếp ly rũ đẹp, chuyển động mềm mại, hợp phong cách thanh lịch.","339000","299000","60","Nâu","Poly","Thanh lịch"
"22","3","VAY-006","Đầm maxi đi biển cổ yếm","dam-maxi-di-bien-co-yem","Đầm maxi cổ yếm, chất liệu mát nhẹ, phù hợp đi biển, chụp ảnh đẹp.","499000","449000","35","Trắng","Chiffon","Resort"
"23","3","VAY-007","Váy denim chữ A cúc trước","vay-denim-chu-a-cuc-truoc","Váy denim chữ A, cúc trước trẻ trung, dễ phối áo thun basic.","369000","","50","Xanh denim","Denim","Casual"
"24","3","VAY-008","Đầm blazer dáng ngắn","dam-blazer-dang-ngan","Đầm blazer dáng ngắn, vai đứng form, phù hợp sự kiện, lên đồ sang trọng.","599000","549000","25","Đen","Tuytsi cao cấp","Sang trọng"
"25","4","AOKHOAC-001","Áo khoác gió chống nước nhẹ","ao-khoac-gio-chong-nuoc-nhe","Áo khoác gió chống nước nhẹ, có mũ, phù hợp đi mưa lất phất, đi xe máy.","459000","399000","55","Xanh navy","Poly chống nước","Outdoor"
"26","4","AOKHOAC-002","Áo hoodie nỉ basic unisex","ao-hoodie-ni-basic-unisex","Hoodie nỉ bông ấm áp, form rộng vừa, dễ phối đồ streetwear.","399000","349000","80","Xám","Nỉ bông","Streetwear"
"27","4","AOKHOAC-003","Áo cardigan len nút gỗ","ao-cardigan-len-nut-go","Cardigan len mềm, nút gỗ vintage, phù hợp phối váy hoặc quần jean.","379000","319000","45","Be","Len acrylic","Vintage"
"28","4","AOKHOAC-004","Áo blazer công sở 1 nút","ao-blazer-cong-so-1-nut","Blazer 1 nút, form chuẩn công sở, tôn dáng, phù hợp đi làm, gặp khách.","699000","629000","30","Đen","Tuytsi","Công sở"
"29","4","AOKHOAC-005","Áo khoác jean wash xanh","ao-khoac-jean-wash-xanh","Áo khoác jean wash, chất denim dày vừa, phong cách cá tính.","529000","479000","40","Xanh wash","Denim","Casual"
"30","4","AOKHOAC-006","Áo khoác bomber dù nhẹ","ao-khoac-bomber-du-nhe","Bomber dù nhẹ, giữ ấm vừa phải, phong cách năng động, hợp đi tối.","469000","419000","50","Đen","Dù nylon","Năng động"
"31","4","AOKHOAC-007","Áo khoác dạ mỏng cổ ve","ao-khoac-da-mong-co-ve","Áo khoác dạ mỏng cổ ve, lịch sự, phù hợp thời tiết se lạnh miền Bắc.","799000","729000","20","Nâu","Dạ pha","Thanh lịch"
"32","4","AOKHOAC-008","Áo khoác nỉ zip hoodie","ao-khoac-ni-zip-hoodie","Áo khoác nỉ kéo khóa, tiện mặc nhiều lớp, phù hợp đi học đi làm.","349000","","65","Xanh rêu","Nỉ da cá","Basic"
"33","5","PHUKIEN-001","Nón lưỡi trai thêu chữ","non-luoi-trai-theu-chu","Nón lưỡi trai thêu chữ, form cứng vừa, dễ phối đồ unisex.","149000","129000","150","Đen","Cotton canvas","Streetwear"
"34","5","PHUKIEN-002","Thắt lưng da bò mặt khóa kim","that-lung-da-bo-mat-khoa-kim","Thắt lưng da bò thật, khóa kim chắc chắn, phù hợp quần jean và quần âu.","259000","229000","90","Nâu","Da bò","Công sở"
"35","5","PHUKIEN-003","Túi đeo chéo mini chống nước","tui-deo-cheo-mini-chong-nuoc","Túi đeo chéo mini chống nước, nhiều ngăn, phù hợp đi chơi, du lịch.","219000","199000","110","Đen","Poly chống nước","Năng động"
"36","5","PHUKIEN-004","Vớ cổ cao thể thao 3 đôi","vo-co-cao-the-thao-3-doi","Set 3 đôi vớ cổ cao, thấm hút tốt, co giãn, phù hợp sneaker.","99000","","200","Trắng","Cotton blend","Thể thao"
"37","5","PHUKIEN-005","Kính mát gọng vuông","kinh-mat-gong-vuong","Kính mát gọng vuông, chống tia UV, phù hợp phong cách Hàn Quốc.","199000","169000","70","Đen","Nhựa acetate","Hàn Quốc"
"38","5","PHUKIEN-006","Ví da mini cầm tay","vi-da-mini-cam-tay","Ví da mini nhỏ gọn, nhiều ngăn thẻ, phù hợp mang theo hằng ngày.","229000","199000","85","Nâu","Da PU","Tối giản"
"39","5","PHUKIEN-007","Túi tote canvas in hình","tui-tote-canvas-in-hinh","Túi tote canvas dày, in hình dễ thương, đựng sách/laptop nhẹ.","179000","149000","120","Kem","Canvas","Casual"
"40","5","PHUKIEN-008","Khăn choàng lụa họa tiết","khan-choang-lua-hoa-tiet","Khăn choàng lụa mềm mát, họa tiết sang, dùng đi làm hoặc dự tiệc.","189000","159000","60","Xanh ngọc","Lụa satin","Thanh lịch"
